MAXIMUM_TEMPERATURE;MINIMUM_TEMPERATURE;CALCULATED_RADIATION;RAINFALL;WINDSPEED;HUMMAX;E0;ES0;ET0
30;13;20103;0;;96;;;6.22
31.7;16.8;20338;46.2;;97.2;;;6.1
21;16;5676;12.4;;96;;;1.95
22;14.7;9905;4.2;;95.3;;;2.92
22.5;13.4;12885;0;;96;;;3.76
23.8;12.5;14736;8.2;;96;;;4.04
22;13.8;12244;1.4;;96.2;;;3.42
23.7;11.9;14714;0;;96.4;;;3.96
27.1;14.3;17343;0;;95.7;;;5.45
23.9;15.1;13363;17.4;;96.6;;;3.81
20.6;13.1;9561;0;;96;;;2.97
21.4;12.8;11927;0;;95.8;;;3.75
21.8;12.2;15865;0;;96;;;4.36
23.6;10;18065;0;;97.4;;;4.81
25.6;13;17021;0;;96.8;;;4.92
30.2;15.1;21109;0;;95.7;;;6.31
29.2;16;19581;0;;95;;;6.03
27.8;15.7;14265;0;;95.3;;;4.29
24.2;19.8;4457;0;;89;;;2.81
28;19;15298;0;;95.2;;;4.99
23.8;15.9;11494;0;;95.2;;;3.63
22.2;14.8;11722;0;;94.8;;;3.75
23.5;12.6;13980;0;;95;;;3.89
23.1;15;11865;0;;95;;;3.57
23;14;15571;3;;96;;;4.28
24.8;11;18914;0;;97.4;;;4.82
28.6;13.4;21698;0;;97;;;6.34
30.4;13.9;22521;0;;95.3;;;6.62
30.8;15.2;20067;0;;95.4;;;6.15
36.5;19;23367;0;;95;;;7.75
34.2;20;21331;0;;94;;;6.77
35.5;18.9;23521;0.2;;96.8;;;7.39
28;17.8;14960;0;;95.6;;;4.34
27.8;17.5;16232;0;;96.2;;;4.71
29.8;16;19742;0;;96;;;5.74
30.9;16.8;19185;0;;95;;;5.96
30.5;18.9;16060;0;;92.5;;;5.33
29.7;20;12883;0;;95.4;;;4.82
26.9;20.8;8582;0.3;;95.1;;;3.43
28.1;18.9;15487;0;;95.3;;;4.9
28;16;14756;0;;96.5;;;4.31
24;19.4;7995;0;;85;;;3.43
24.9;15.2;16524;0;;96;;;4.71
28.4;13;21901;0;;96.3;;;6.04
29.3;14.8;22206;0;;96.8;;;6.57
30.2;14.2;23235;0;;95;;;6.94
30.9;14.5;22915;0;;96;;;6.66
29;16.1;19019;0;;96;;;5.85
31.9;16.9;20575;0;;95.1;;;6.29
34.5;19.5;22392;0;;92.6;;;7.31
31.4;19;19167;0;;94;;;6.08
30.7;18.4;18531;0;;95.2;;;5.42
31;18.4;20066;0;;95.8;;;5.94
33.2;16.9;22051;0;;95.8;;;6.99
32.5;19.3;21129;0;;94.8;;;6.8
36;17.2;24285;0;;95;;;7.58
30.4;19.1;18478;0;;95;;;5.5
30.4;17;21234;0;;96.7;;;6.12
29.6;15;21483;0;;95;;;6.2
30.3;14.9;20583;0;;96.8;;;6.11
31.4;17.7;20149;0;;95.4;;;6.17
31;17.7;19437;0;;96.7;;;6.08
31.2;17.9;19450;0;;96.2;;;6.07
30.8;18;18327;0;;95.3;;;5.69
32.8;18.6;19678;0;;95;;;6.42
29.2;19.9;15230;0;;95.7;;;4.52
30.7;17.3;19652;0;;96.7;;;5.73
30.8;17;19167;0;;95;;;5.79
31.5;18.1;19302;0;;97.4;;;5.82
