MAXIMUM_TEMPERATURE;MINIMUM_TEMPERATURE;CALCULATED_RADIATION;RAINFALL;WINDSPEED;HUMMAX;E0;ES0;ET0
25;10.7;19516;0;;93.8;;;5.27
27;13;20003;0;;93.8;;;5.58
24.8;13.8;18202;0.6;;92.8;;;4.99
24.4;11.4;16231;0;;93.5;;;4.19
26.4;15.4;16644;0.6;;92.8;;;4.99
30.5;14.8;19987;0;;92.5;;;6.45
32.6;18.8;19656;0;;90.6;;;6.52
29.2;19.5;15795;0;;92.3;;;5.32
30.2;17.2;19786;0;;92.3;;;6.01
33.3;16.3;21437;0;;91.8;;;7.04
31.5;20.4;17088;0;;93.5;;;6.02
27.6;19.3;11929;0;;92.7;;;3.64
23.5;18.4;6962;0;;92.3;;;2.41
27.8;16.3;15209;0;;92.8;;;4.34
31;18.3;19813;0;;92.7;;;6.16
34.4;16.8;23769;0;;92.2;;;7.5
26;17;16633;0;;93.5;;;4.81
29;12.6;21148;0;;94;;;6.24
29.6;16.4;18843;0;;92.5;;;5.63
34.8;17.3;22646;0;;80;;;7.51
29.6;20;13102;0;;93.2;;;4.46
28.4;20.4;13964;0;;91.6;;;4.34
26.5;16.8;16820;0;;91.6;;;5.01
26.8;13.5;17878;0;;92.7;;;4.9
27.8;16;15975;0;;92.7;;;4.62
26.4;17.7;11739;0;;92;;;3.92
24;17.8;11100;0;;90;;;3.85
25.8;13.7;16927;0;;93.7;;;4.66
30;15;22988;0;;93.3;;;6.63
30.9;14;23289;0;;91.7;;;7.02
33.8;16;23622;0;;92.3;;;7.6
35.8;18.8;22904;0;;70;;;7.98
34;21.4;20683;0;;87.3;;;6.91
29.2;19.2;17787;0;;87.5;;;5.18
27.2;15.8;19441;0;;94;;;5.34
26.2;13.2;17651;0;;94;;;4.85
28;16;19010;0;;91.8;;;5.48
29;15;19634;0;;92.2;;;5.59
34.3;17;23392;0;;91.6;;;7.46
28.3;18.7;15702;0;;91;;;4.9
30.2;16.7;19774;0;;91.4;;;5.77
31.3;17.3;20706;0;;91.6;;;6.17
32.2;17.4;22419;0;;92.5;;;6.71
26.3;16;15096;0;;91.6;;;4.69
26.4;16;12626;0;;91.5;;;4.25
28.3;18.7;13315;0;;;;;4.52
31;19;18183;0.4;;;;;5.58
31.8;18.4;20295;0;;;;;6.01
30;17.5;17219;0.4;;;;;5.3
29.3;19;16516;0;;;;;5.13
31.9;17;20268;0;;;;;5.99
30.9;18.8;18767;0;;;;;5.65
31.9;17.3;22248;0;;;;;6.32
29.3;14.7;18641;0;;91.7;;;5.49
31.8;18.2;20791;4.2;;92.7;;;6.42
24.3;16.2;11132;0;;92;;;3.56
26.7;15.6;16763;0;;92.2;;;5.05
31;14.6;21537;0;;92;;;6.1
30.2;16.3;20323;0;;91.7;;;5.82
29.6;15.3;20165;0;;92.7;;;5.96
32;15;22333;0;;91.8;;;6.83
34;15;22901;0;;93.6;;;7.41
39.8;16.8;24579;0;;90;;;8.58
32.2;16;21320;0;;91.8;;;6.43
27;16.3;16978;0;;90;;;5.2
28.3;13.4;18417;0;;91.4;;;5.01
34.7;16.5;22643;0;;90;;;7.27
29.5;16;20520;0;;91.2;;;6.1
30;12.2;21201;0;;93.5;;;6.27
32.3;15;20828;0;;92.5;;;6.28
35;17.3;21028;0;;91.6;;;6.88
37.2;19.5;22038;0;;87;;;7.55
35.2;18.3;21517;0;;91.8;;;6.96
36;17;21380;0;;91;;;7.2
28.6;19.8;12303;0;;92.2;;;4.71
24.3;18;10266;0;;90;;;3.53
27.2;13.7;17801;0;;92.3;;;5.12
27.7;13.6;18297;0;;92.5;;;5.22
29.3;13.6;19019;0;;92.7;;;5.79
32.7;15;19925;0;;91.6;;;6.22
28.8;17.7;16009;0;;92.7;;;4.64
30;15;18189;0;;93.2;;;5.55
36;16;21481;0;;86;;;7.42
29.2;16;17018;0;;87.8;;;5.33
28.8;15.3;13759;0;;91.8;;;4.86
27;20;8984;0;;91;;;3.31
26;17.8;11430;0;;89.5;;;3.67
30;15;16636;0;;91;;;5.29
33.2;17.7;18395;0.6;;91;;;6.13
27;17.3;9928;0;;91.5;;;3.99
26.3;19;11574;0;;91;;;3.78
28.8;13.2;16576;0;;92.7;;;4.89
28.8;15;16219;0;;91.2;;;4.61
28.2;13.8;15742;0;;92.3;;;4.72
26.2;14.6;11603;0;;92.5;;;3.95
30.5;16.8;14847;0;;91.2;;;4.84
31.2;17.4;15775;0;;90.6;;;5.06
31.3;16;16478;0;;91.3;;;5.56
30.6;15.5;14482;0;;90.8;;;4.94
32;18.9;14023;0;;90.6;;;4.76
35.2;19;16966;0;;90;;;6.14
34;17.4;16508;0;;90;;;5.61
32;17.7;15669;0;;91.2;;;5.14
28.5;15.7;14987;0;;91;;;4.44
28.7;12.4;14889;0;;91.7;;;4.59
26.2;15.9;10343;0;;91.3;;;3.77
25;16;10648;2.4;;90;;;3.68
25;13;11910;0;;91.6;;;3.7
26.2;13.7;10979;0;;92;;;3.82
29.6;16.7;13160;0;;90;;;4.5
28.2;16;12568;0;;91.8;;;3.96
27.3;15;11551;0;;91;;;3.67
28;16;11745;0;;90.3;;;3.68
29;15.8;12976;0;;91.3;;;4.12
28.2;15.1;11811;0.6;;91.3;;;4.2
29.2;16.5;12341;0;;91.6;;;4.23
30.3;15.7;12471;0;;91.3;;;4.56
32;18;13170;3.6;;92;;;4.59
28.3;17;10120;0.4;;90.5;;;3.63
26.3;17.3;9577;1;;91;;;3.16
28.6;14;11878;0;;91.3;;;4.11
28.3;16;11644;0;;90.5;;;3.6
27.8;13.8;10761;12.2;;91.3;;;3.48
31.2;16.8;10326;0;;88.8;;;3.89
30.3;21.1;8485;0;;86.5;;;3.61
22.2;18.8;2135;10.6;;92;;;1.39
26;16.9;7455;4.8;;90;;;2.55
25.2;16.2;6308;0;;90;;;2.41
26.8;17.3;7905;1.4;;90;;;2.92
27;16.2;7387;0;;90.5;;;2.93
27.4;18.5;7837;5.8;;91.2;;;3
23.2;16;3938;5.2;;91.3;;;1.66
26;17.6;7064;0.4;;90;;;2.36
30;15.4;10566;0;;91.8;;;3.9
29.6;16.8;10355;0;;92.7;;;3.96
23;15;6695;18;;92.7;;;2.27
21.7;12.5;6525;0;;91.2;;;2.37
25;12.7;8043;0;;91;;;2.69
23.4;15.4;5778;0;;91.5;;;2.23
22;14.3;4824;0.6;;91;;;1.94
23;14.5;6437;10;;91;;;2.13
24.4;12.8;7941;0;;91;;;2.68
25.2;13.6;7277;0;;90.5;;;2.68
26;15.7;6483;0.2;;91.3;;;2.58
24.7;16.8;5886;0;;90;;;1.96
21.3;14.4;4547;8.2;;93.5;;;2.17
18.6;13;3213;7.2;;93.3;;;1.73
18.2;12;4060;48.2;;92;;;1.58
13.4;10.3;1293;17.2;;91;;;1.1
15;9.3;3028;4.2;;91.3;;;1.68
14;9;2307;2.4;;92;;;1.3
13;9;2319;9.2;;91.6;;;1.36
18;6.8;5094;0;;87.5;;;1.77
20;12;5497;0;;91.3;;;2.04
14;9.4;2610;0;;91.1;;;1.65
15.6;7.4;2667;0;;91.3;;;1.37
20;12.3;2647;0;;88.8;;;2.05
21.2;15.8;4605;0;;80;;;2.28
21.1;9.6;4794;0;;81.8;;;2.01
23.6;15;5156;0;;91.3;;;1.85
19.8;13.3;3460;0;;90.5;;;1.61
15;12;1617;38.4;;90;;;1.16
13.6;9;2499;3;;90;;;1.57
16;6.8;4576;0;;91.3;;;1.74
17.4;8.2;5054;0;;91.5;;;1.74
15.5;8;2673;0;;91.8;;;1.59
16.3;10.8;3576;5;;92;;;1.91
12.2;7;2597;9.4;;91.8;;;1.65
11.8;5.6;3136;6.6;;92.2;;;1.34
10.8;4.8;2858;0;;91.5;;;1.18
9;4.4;1609;7.4;;91;;;0.86
14;4.8;3387;2.6;;91.3;;;1.49
14.2;8.9;1903;0;;90.2;;;1.37
12.6;9.2;1217;21.6;;91.7;;;0.94
13;8;1812;3.4;;91.2;;;1.71
14.4;8;3697;0;;90;;;1.61
15.2;5.2;5571;0;;92.5;;;1.65
14.8;3.9;5779;0;;91.8;;;1.69
15;3.7;4809;5;;92.5;;;1.62
13;7.3;1663;3.4;;92;;;1.69
14;9;1591;7;;91.8;;;1.69
18;9.4;4250;1.8;;91.7;;;1.28
17.3;8.5;4323;2.2;;91.7;;;1.42
13.4;7.8;3086;1.2;;91.3;;;1.71
11.6;4.8;2796;6.6;;91.6;;;1.39
10.8;5.3;2532;6.6;;92;;;1.1
12.7;4;5002;0;;91.8;;;1.32
13.8;1.5;5092;0;;92.5;;;1.73
13.2;5.8;2712;0;;92;;;1.57
12.3;7.4;697;0.2;;91.8;;;1.4
13.8;11;301;0;;88.8;;;1.43
15.6;12.5;937;0;;89.8;;;1.25
17;11.2;2276;0;;91.6;;;1.26
14;10.4;979;0.2;;91;;;1.35
12.7;10;1388;0;;73.5;;;1.75
14.2;6.3;3899;0;;92.3;;;1.39
14;5;4640;0;;92.3;;;1.66
14.6;3.6;4384;0;;91.2;;;1.79
16;7;4153;0;;92;;;1.47
14.6;6.8;2032;0;;91.8;;;1.22
14.3;11;1659;0;;91.2;;;1.19
12.4;7.4;2407;1.6;;92.5;;;1.11
11.5;5;3066;0;;89;;;1.88
13.3;3.8;4905;0.8;;93.5;;;1.5
13.4;2.7;2797;0;;92.8;;;1.16
12.8;10.6;500;0;;88;;;1.21
14.4;9.7;2766;0;;89.2;;;1.44
13.7;5.4;2670;0;;91.8;;;1.35
12;8.8;1173;3;;92.2;;;1.23
14.8;7;3193;0;;93;;;1.42
14;7.7;2838;0;;92;;;1.35
16;6.6;5626;0;;90;;;1.96
12.6;2.5;2716;0;;92.8;;;0.97
14.3;9.4;1564;0;;92.5;;;1.01
14.7;9.3;3047;0;;91.3;;;1.24
12.9;5.4;3399;0;;88.8;;;1.51
9.6;5;2243;8.6;;92.5;;;0.98
8.3;2.7;3035;0.8;;91.8;;;1.23
3.1;0.4;341;2.4;;93.2;;;0.72
8.8;2;2463;1;;91.3;;;0.81
11.4;3.8;3730;6.6;;91.5;;;1.28
9;3.2;1184;0.2;;91.2;;;1.22
13.7;7;4102;6.8;;91.4;;;1.37
11.4;3.2;4543;0;;89.7;;;1.58
13.2;1.7;6486;0;;91.6;;;1.69
13.3;0;6296;0;;92.5;;;1.46
14.2;3;6075;0;;92.2;;;1.62
13.8;2.4;5876;0;;92.2;;;1.5
15;3.2;4937;0;;92.2;;;1.82
11.4;7.7;860;0;;90.6;;;1.29
14.8;8.5;3187;0;;91.6;;;1.54
15;7;3549;0;;92.2;;;1.72
17.4;8;4829;0;;92.2;;;1.86
15.6;8;3653;0;;92.4;;;1.54
14.6;8;2616;2.8;;92;;;1.59
14;9;1945;2.6;;91.6;;;1.38
14.7;8.8;3940;0;;91.3;;;1.45
15.4;5;5303;0;;91.7;;;1.65
16.7;6.7;6162;0;;91.4;;;1.64
17;5;6941;0;;91.2;;;1.85
16.4;5;6423;0;;91.4;;;1.71
17;5.8;6478;0;;91.2;;;2.06
17;6.1;6373;0;;91.2;;;2.14
18.2;6.3;7678;0;;91.6;;;2.34
16.2;5;6781;0;;91.6;;;2.09
16.7;5.7;6370;0;;91.8;;;2.17
15.1;7.2;4782;0;;90;;;1.66
15.4;6.7;4038;0;;91.3;;;1.67
12.2;9.6;565;0;;91.6;;;1.25
12.7;10;1573;0;;81.5;;;1.52
14;7.2;4460;0;;92.3;;;1.59
13.4;5.8;7121;0;;88.2;;;2.17
9;0.2;6310;0;;82.5;;;2.05
10.3;0.2;5549;0;;83;;;2.08
10.3;4.3;2804;0;;86.4;;;1.51
11.3;5.7;2282;0;;86;;;1.71
12.8;7.4;3180;0;;83.5;;;1.76
12.4;6.6;2504;0;;85;;;1.85
13.8;8.2;2556;16.5;;92.5;;;1.41
13.4;9.2;1295;4;;92.2;;;1.33
12.2;10.6;695;2;;91;;;1.52
17;8.8;5945;1.4;;91.3;;;2.04
17.4;8;6293;0;;91.6;;;2.03
18;9;7192;0;;90.6;;;2.01
17.2;7.4;7530;0;;90;;;2.16
20.4;7;9403;0;;91.3;;;2.74
15;9.2;5649;0;;91;;;1.96
19.7;5;9827;0;;90;;;2.88
20;9.4;7856;0;;91.8;;;2.34
20.9;10.2;7485;0;;91.3;;;2.45
18;12;3858;0;;90;;;1.84
16.5;11.6;3753;0;;91;;;1.59
17.5;9.5;8844;0;;91.8;;;2.23
18;4.4;11007;0;;91.8;;;2.77
20.2;6;11327;0;;91.6;;;3.25
18.5;7.8;7489;0;;91;;;2.48
20;11;7559;0;;91.5;;;2.43
19;10.6;6232;0;;90.8;;;2.36
17;11.5;3223;3.4;;90.6;;;1.5
20.7;12;6558;2.6;;90;;;2.57
16.6;13;2599;0;;90.3;;;1.47
18.7;11;9190;0;;90.8;;;2.65
17.7;6;11115;0;;91.6;;;2.55
16;5.8;9941;0;;92.3;;;2.71
16;5.3;10874;0;;79.5;;;3.4
17.3;4.3;13511;0;;87;;;3.77
16;2;12092;0;;91.6;;;2.8
17;5.8;13221;0;;91.6;;;3.67
14.3;1.3;9487;0;;86.8;;;2.43
16;8.4;9778;3.6;;89.7;;;3.26
17.4;3.8;14458;0;;91.5;;;3.91
16.7;1.8;15352;0;;93.5;;;3.76
17.2;0.2;15433;0;;92;;;3.4
15;3;10876;0;;92;;;2.47
15.2;6.4;9732;0;;92.2;;;2.56
19.6;5.1;14862;0;;92.2;;;3.67
20;5;14994;0;;91.6;;;3.7
18.1;5.8;11356;0;;92.2;;;2.92
16.8;9;7637;0;;91.3;;;2.03
14.6;8.8;7057;0;;90.4;;;1.71
14.7;5.7;9272;5.4;;91.2;;;2.55
13.2;6.2;7961;6;;91.3;;;2.38
11;4.7;8354;7.6;;91.4;;;2.08
15.1;1.6;14305;5;;92.4;;;3.23
16.3;3.6;11625;0;;92.7;;;3.08
16.1;8.3;9314;0;;91.3;;;2.66
18.1;6.4;12328;0;;91.4;;;3.07
18.3;7.9;12879;0;;91.3;;;3.07
23.3;6;15291;0;;91.3;;;4.57
24;12.9;14955;0;;91.5;;;4.25
18.1;8.2;13095;0;;92;;;3.31
19;5.4;14977;0;;92.2;;;3.87
20.3;6.9;12477;0;;91.5;;;3.66
21.9;12;9543;0;;67.5;;;3.91
22;14;10888;0;;92.2;;;3.5
20;10.5;8710;0;;91.8;;;2.62
23.7;13.1;14183;0;;91;;;3.86
24;10;15449;0;;90.6;;;4.72
23;11.6;12953;0;;90;;;4.11
19.3;12.3;8637;0;;92.2;;;2.81
21.6;10.3;13769;0;;91.6;;;3.57
24;10;14681;0;;91.2;;;4.55
17.8;13.5;4957;0.8;;88.8;;;2.03
14.1;10.9;6702;0;;72.3;;;2.89
17.4;4.3;12620;0;;92.2;;;3.53
17.1;10.3;10304;0.6;;92;;;2.87
17.1;6.5;14576;0;;80;;;3.99
17.7;5;14263;0;;85;;;3.92
11;8.2;1614;6.6;;92.7;;;1.52
13.4;8.1;5038;2;;91.7;;;1.75
20;8;16053;0;;92.2;;;4.01
23.2;7;18243;0;;92;;;4.86
21.7;10;15438;0;;91.3;;;4.3
23;10;18129;0;;91.5;;;4.83
20;8.3;17436;0;;91.8;;;3.8
19.4;5.8;15337;0;;92.3;;;4.13
14.3;10.4;1802;8.5;;92;;;1.77
20.7;12.2;10594;0;;91.3;;;3.02
22.2;12.1;14696;0;;92;;;4.19
23.1;10.3;16803;0;;91.6;;;4.66
24;11;16149;0;;91.3;;;4.49
26;13;17028;0;;89;;;5.1
27.9;13.6;17977;0;;90.6;;;5.65
29;15.2;17991;0;;86.5;;;5.88
29;15.8;17024;0;;91.4;;;5.33
33;16.8;21010;0;;91.8;;;6.75
23;16;9921;0.4;;92.2;;;3.55
21.4;13.8;9113;6;;91.2;;;2.58
21;13.8;9924;9;;90.4;;;2.95
19.2;12.2;9338;5;;91;;;2.9
20.5;11;12370;0;;92.2;;;3.5
20.8;11.5;10113;1.4;;91;;;3.22
21.4;14;13797;0;;91.2;;;3.83
22.8;8.7;18234;0;;92.3;;;4.85
22.5;11;15044;0;;91.8;;;4.56
20.8;12.4;12485;0;;93.2;;;3.77
23;10.7;17052;0;;92.8;;;4.69
28.2;11.2;21480;0;;92.3;;;6.16
35;12.8;23350;0;;91.2;;;7.98
35.2;18;22772;0;;86.6;;;7.76
28;16;18849;0;;91.3;;;5.7
26.7;13;18328;0;;91.3;;;5.66
19;14.3;6151;0;;90.8;;;2.74
20;12.1;13107;0;;91.6;;;3.79
25;9.6;18839;0;;92.5;;;5.31
25;15;12995;0;;93.6;;;4.52
28.6;16.4;19265;0;;77.2;;;6.24
31;14.6;21785;0;;73.8;;;6.99
29.2;16.8;16947;0;;62.5;;;6.13
25;18.4;9112;0;;91.6;;;3.8
24.5;17;12350;0;;91.2;;;3.81
22;14.2;11217;0;;89.8;;;3.76
20;13.3;7711;0;;90;;;3.19
22.8;13.8;14443;0;;91;;;4.24
21.7;12;14358;0;;92.3;;;4.34
21.7;11.8;17294;0;;91.7;;;4.58
22.9;8.8;20382;0;;92.5;;;5.42
24.3;10;18505;0;;92.8;;;5.01
21.8;14;8311;0;;91.7;;;3.33
27.9;16;16796;0;;92.3;;;5.58
23;17;11414;0;;91.8;;;3.49
23.5;12.3;12432;0;;92.2;;;3.63
22;16.9;7423;0;;91.6;;;3.05
25.3;14.4;16017;0;;91.7;;;4.73
26;14.5;16131;0;;91.5;;;4.81
32;15.6;22056;0;;91.2;;;6.94
34.2;17.5;22936;0;;81.5;;;7.64
35.2;18;23392;0;;77.2;;;7.92
35;18.3;23474;0;;87.5;;;7.78
34.8;17.4;23593;0;;87.8;;;7.85
31.1;17.5;19849;0;;78.8;;;6.67
26.5;17.6;15009;0;;91.3;;;4.92
30.2;14.7;20698;0;;91.2;;;6.53
30.6;17.2;20408;0;;91;;;6.27
33.3;17.2;22878;0;;90.6;;;7.3
35;18.3;24028;0;;89;;;7.8
34.8;18;24474;0;;91.3;;;7.83
34.4;16.7;24113;0;;90.6;;;7.69
31.9;18;19714;0;;90.7;;;6.32
36.3;19.7;23544;0;;90;;;7.91
30.5;20;15886;0;;90;;;5.49
26.2;19.6;11910;0;;91;;;4.82
29.2;15.7;19260;0;;91.5;;;6.13
31.5;17.2;21628;0;;89;;;6.55
31;16.6;21109;0;;89.5;;;6.49
32.2;17;20344;0;;91.3;;;6.62
34.3;20;22747;0;;87.8;;;7.42
29.5;17;18471;0;;92;;;5.46
29.2;17.3;15367;0;;92;;;5.07
30.7;20;18172;0;;91;;;6.03
33;17;22208;0;;91;;;7.08
34.3;18;23277;0;;89.7;;;7.59
36;17.1;23736;0;;90;;;7.86
33;19.8;18454;0;;91.6;;;6.25
38.1;21;21927;0;;72.5;;;7.92
40;24.1;23109;0;;61.3;;;8.66
39;22.2;23080;0;;66;;;8.4
39.6;21.9;23920;0;;90;;;8.38
34.6;20.7;22014;0;;91;;;7.16
31.4;17;20118;0;;91.2;;;6.29
31.2;17.7;19178;0;;91;;;6.2
31.2;18;18132;0;;92.2;;;5.84
31.2;19.1;15730;0;;89.5;;;5.41
31.6;21;14509;0;;89;;;5.21
34.3;21.3;17748;0;;89.6;;;6.14
35.8;22;19376;0;;89.5;;;6.74
40;21.7;22907;0;;77.5;;;8.43
35.9;22;19463;0;;87.5;;;6.77
31.5;21.5;15500;0;;91;;;5.24
28.1;19;16126;0;;90;;;5.3
31.4;14;21557;0;;87.7;;;6.87
32.2;15.7;18753;0;;88.6;;;6.45
39;21;20909;0;;86;;;7.57
38.1;24.7;20416;0;;90;;;7.29
29.3;20.5;12320;0;;90;;;4.83
29.2;19;14027;0;;81.2;;;5.01
27.5;18.2;13884;0;;89.5;;;4.75
24.2;15.8;9846;0;;89.5;;;3.62
29;16.3;14165;0;;90;;;4.74
36.8;20;19969;0;;87.5;;;7.07
38.6;22;21516;0;;87;;;7.74
32.5;19;18126;0;;91.3;;;6.01
32;18;19074;0;;90;;;6.12
31;16;18571;0;;90.6;;;5.8
31.2;16.8;17139;0;;91;;;5.53
31;18.8;16237;0;;87.5;;;5.42
32;17.8;17833;0;;90;;;6.08
30.5;17.8;15917;0;;91.5;;;5.25
34.2;18;18733;0;;90;;;6.43
35;19.5;17832;0;;88.8;;;6.19
33;21.3;16170;0;;89.5;;;5.51
31;18.6;13466;0;;87.5;;;4.98
32.6;21.2;16674;0;;90;;;5.83
29.5;16.7;14912;0;;90;;;4.84
28.8;17.8;13597;0;;91.7;;;4.63
29;17.2;14330;0;;90;;;4.55
34;16;16802;0;;90;;;6.24
36.2;21.6;17592;0;;89;;;6.53
26;18.2;7330;23;;90;;;2.87
24;18.7;7536;0;;87.7;;;3.22
27.2;14;14053;0;;91.2;;;4.32
27.7;15.3;13940;0;;90.6;;;4.46
26;15;11839;0;;91;;;4.27
22;15.3;8442;0;;87.7;;;3.07
23.7;12;12862;0;;90.8;;;3.8
24.2;12;10100;0;;90;;;3.8
22.6;17;3684;0;;91;;;2.26
26.5;17.9;8254;10;;91;;;3.46
24;18;7454;0;;90;;;3.15
24;14.1;8559;0;;90;;;3.22
23;16.3;7080;0;;90;;;2.83
24.8;14.2;9992;0;;90.5;;;3.48
27;15.4;13060;0;;90;;;4.07
26.2;13;11210;0;;90;;;3.98
27.5;17;11037;0;;90.3;;;3.58
31.3;15.7;14558;0;;90;;;5.18
26;16.5;9960;4.6;;90;;;3.14
28;14.8;11984;0;;90.2;;;4.18
29.5;16.5;12558;0;;90;;;4.42
30.6;16.3;13531;0;;91.2;;;4.63
30.9;16;13648;0;;90.6;;;4.81
30;16.2;12872;0;;90.8;;;4.28
28.8;16;12209;0;;90.3;;;3.93
28.8;15.2;12504;0;;90;;;4.26
28.2;15;11543;0;;90;;;3.87
27.4;16;9073;0;;90;;;3.38
25.4;17.7;5762;0;;90.6;;;2.82
27.8;17.8;9930;0;;90;;;3.55
27;14.7;10389;0;;90;;;3.22
23;15;6708;5;;90.6;;;2.91
23;13.9;7648;0;;89.5;;;3.09
25.3;13.2;9969;0;;87.7;;;3.55
26.5;13.5;10934;0;;91.2;;;3.96
26.1;12.9;11673;0;;91;;;4.02
25;10.3;10838;0;;90;;;3.36
26;12.9;9784;0;;90;;;3.43
28;14.6;10285;0;;90;;;3.89
30.5;15.2;10954;0;;90;;;4.35
31.7;17.1;11072;0;;88.6;;;4.55
31.2;16.8;11139;0;;91.2;;;4.39
31.2;15.5;11468;0;;91.8;;;4.46
32;15;12281;0;;84.7;;;4.92
27.9;12;11248;0;;87.8;;;3.4
25.8;12.1;8593;0;;91.3;;;3.39
27.7;16;8616;0;;87.5;;;3.58
26.4;15.5;8608;0;;90.5;;;3.39
26;13.3;7997;0;;91.3;;;3.11
26.3;16;6590;0;;86.2;;;3.04
25;17;5709;1.2;;92.4;;;2.76
24.6;15.3;6330;0;;90.4;;;2.81
26.4;14.7;8780;0;;91;;;3.1
25;12.3;8456;0;;92;;;3.01
24.6;12.7;7852;0;;91.8;;;2.66
22.3;13;6902;0;;91;;;2.43
21.3;10.6;7758;0;;90.5;;;2.84
20;8.7;6423;1;;91.2;;;2.57
18.5;11.4;3972;17;;89;;;2.41
21.8;11;5881;1.6;;89.7;;;2.21
19;13;4248;4.6;;91;;;2.18
21;9.5;5836;0;;91.2;;;2.17
19.3;12.8;4273;0;;91.2;;;1.94
18;10;4903;49.2;;89;;;2.21
17;8.7;2599;0;;90;;;2.02
19.1;13.7;2692;11.6;;90.6;;;1.5
24.6;12.4;7045;5;;90.6;;;3.03
23.6;12.2;6583;0;;91.8;;;2.49
20;11.8;5292;0;;91.6;;;2.09
21.7;9;6685;0;;91.5;;;2.48
21;10.7;5543;0;;91.3;;;2.03
23.2;11;5440;0;;90.5;;;2.3
25;15;4790;0;;83.5;;;2.6
25.4;16.2;3961;0;;80;;;2.7
23;18;2957;0;;85.3;;;2
23.8;14.3;5204;0;;90;;;2.49
22.4;13;3894;0;;89.5;;;2.3
21;15.3;3164;0;;87.5;;;1.98
19;12.3;3476;0;;76.6;;;2.2
18.7;10.5;4819;0;;85;;;2.33
18.7;7.8;6174;0;;92.8;;;2.01
18.6;6;6174;0;;91.8;;;2.12
17.2;7.5;3347;0;;91.2;;;1.78
19.4;12;3301;0;;91.2;;;1.64
17.4;11.7;2659;17.4;;91;;;1.45
16;10;1538;3.6;;91;;;1.18
18;12.5;2410;9.8;;91;;;1.42
16.4;11;2053;0;;87.3;;;1.98
15.3;10.5;1163;6.2;;91.5;;;1.22
16.3;11.9;1522;0;;90;;;1.63
16.8;11.1;3914;0;;90.5;;;1.38
16.2;5.4;4576;0;;92;;;1.39
17.7;8;4405;0;;90.3;;;2.16
18;8.6;3700;0;;91.3;;;1.68
16.1;10.7;3445;0;;88;;;1.66
12;5.7;3674;0;;92.2;;;1.62
8;2.4;1997;5.8;;92.5;;;1.36
10.8;3.2;1889;13.4;;92.2;;;0.88
14.3;8;2370;0;;91.5;;;1.35
10.9;8.2;539;33.4;;92.2;;;1.14
11.4;8.2;1178;12.5;;91.7;;;1.17
12.8;6.4;2840;0;;92;;;1.42
12.6;5.5;3883;0;;92.5;;;1.53
12.8;2.9;3112;0;;92.7;;;1.37
12.2;8.3;2182;0;;90;;;1.32
12.3;4.4;3573;0;;92.8;;;1.5
12;4.4;3185;2.2;;91.7;;;1.37
14;5;3556;3;;90.6;;;1.31
12;7;2391;1.5;;90.8;;;1
13.9;4.7;3273;0;;89;;;1.3
15.8;8;2752;0;;90.5;;;1.41
14.2;9.8;1416;0;;88.6;;;1.22
13;9.3;1557;0;;90;;;1.14
11;7;1248;25.2;;91.8;;;1.22
12.4;6.6;2116;5.3;;90.5;;;1.49
13.8;6.8;3190;0;;90.3;;;1.51
14.4;6;3683;6.1;;92;;;1.24
11.8;6.5;2716;2.5;;91.2;;;1.57
9.7;4;1463;0;;91.2;;;1.41
11.9;6.5;1805;10.3;;84;;;1.32
13.5;6.8;3326;13.2;;86;;;1.28
13;4.8;2178;6.1;;84;;;1.35
11.5;9.5;370;3.9;;85;;;1.26
13.3;9;1168;2.6;;84.8;;;1.48
14.2;9.3;2981;7.4;;83.3;;;1.89
13.2;4.8;3753;0;;76.5;;;2.12
10;5.3;1443;5.8;;80;;;1.64
11.7;5.8;2994;1;;78;;;1.7
10;3.8;3011;12.3;;80;;;1.49
7.8;2.7;2363;25.3;;79.5;;;1.8
6.5;1.6;2062;1.8;;77.3;;;1.7
7.3;1.2;2965;0;;68.6;;;1.68
9.9;0.7;2226;0;;70.7;;;1.78
14;8.2;3290;0;;77;;;1.6
15.2;5.2;6146;0;;78;;;1.85
15;1.8;6420;0;;83.3;;;1.79
11.2;4.2;4574;0;;76;;;1.78
14.8;0.8;6764;1.9;;81.2;;;2.11
11.5;4;2264;0;;66.5;;;1.94
14.9;8;4943;0;;68;;;2.16
15.5;3;7387;0;;80;;;2.23
13.5;1;7105;0;;82.5;;;1.82
13;1.1;6258;0;;80.8;;;1.99
8.9;3.3;2482;0;;76;;;1.75
10;3.5;1234;0;;76;;;1.53
11;9;779;0;;71.2;;;1.62
13;7;2543;0;;78;;;1.85
13.3;7.5;3177;5.9;;82;;;1.88
16;6;5875;0;;72.4;;;2.47
15.7;5.8;5955;0;;73.7;;;2.24
16.5;5.4;6930;0;;73.3;;;2.66
13.8;5.2;5980;0;;75.2;;;2.02
13;3.2;6057;0;;79.5;;;1.98
7;3.8;1152;0;;77.5;;;1.2
10.3;3.6;3047;17;;76.7;;;1.64
12.4;5.4;3530;0;;77.5;;;1.78
15;6.5;5613;2.2;;81.8;;;1.71
14.2;5.7;5425;8;;81.5;;;1.58
19;5.6;8804;0;;80.5;;;2.67
16.1;5.7;6904;0;;74.8;;;2.16
14;6;4910;0;;74.4;;;2.07
14.1;6.4;5046;0;;90;;;1.66
14.3;6;5621;0;;78;;;2.15
18.9;5.7;7969;0;;76;;;2.87
